ifcguid,area,name,olf_value,perimeter,space_function,unbounded_height,classification
2SzsE5m8T4h9JlM6XpBSmp,9.29279014770632,Corridor,0.0,14.790444992000005,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmm,21.637049129073276,Corridor,0.0,28.410084320000006,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmn,2.529026490974492,Shower,0.0,6.540320384000015,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSm_,2.6540725010003126,Shower,0.0,6.739596800000012,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSm$,34.6719441269739,Meeting room,50.0,24.85343408000003,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmy,6.253166223801639,Confidential meetings room,50.0,10.007906240000178,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmz,5.749303473005941,Confidential meetings room,50.0,9.617912816000127,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmw,5.255550208862288,Enclosed office,50.0,9.235744208000193,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmx,5.868271226287733,Enclosed office,50.0,9.709994720000147,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmu,12.78239369405384,Enclosed office,50.0,14.371196880000012,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmv,8.580961532552724,Enclosed office,50.0,11.776197344000037,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSp6,6.476193437710486,Enclosed office,50.0,10.47619486400004,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSp7,9.714299041908253,Enclosed office,50.0,12.476199200000053,BUSINESS USE - CONCENTRATED,2.4384,Space
3cb6LfaebBofd08xyUJOhA,6.689518511738705,Power supply room,300.0,10.34626654400002,ACCESSORY MECHANICAL AND STORAGE AREAS,2.4384,Space
3cb6LfaebBofd08xyUJOh8,7.840677790596817,Power supply room,300.0,11.246265968000003,ACCESSORY MECHANICAL AND STORAGE AREAS,2.4384,Space
3cb6LfaebBofd08xyUJOh4,6.774261252743763,Power supply room,300.0,10.411262096000018,ACCESSORY MECHANICAL AND STORAGE AREAS,2.4384,Space
3cb6LfaebBofd08xyUJOh2,7.874998600490679,Power supply room,300.0,11.266266944000009,ACCESSORY MECHANICAL AND STORAGE AREAS,2.4384,Space
3cb6LfaebBofd08xyUJOh_,6.708699600383147,Power supply room,300.0,10.361262704000016,ACCESSORY MECHANICAL AND STORAGE AREAS,2.4384,Space
3cb6LfaebBofd08xyUJOhy,7.798561991571137,Power supply room,300.0,11.216267552000007,ACCESSORY MECHANICAL AND STORAGE AREAS,2.4384,Space
24CUluy7v9PexUf_brGpoC,13.885817679114068,Toilet,150.0,17.679796000000017,BUSINESS USE - GENERAL,2.4384,Space
24CUluy7v9PexUf_brGpoE,19.84399008040124,Toilet,150.0,25.869601312000004,BUSINESS USE - GENERAL,2.4384,Space
24CUluy7v9PexUf_brGpoA,13.99156767351408,Toilet,150.0,15.849796304000012,BUSINESS USE - GENERAL,2.4384,Space
24CUluy7v9PexUf_brGpo4,19.85824009000123,Toilet,150.0,25.869601312000004,BUSINESS USE - GENERAL,2.4384,Space
24CUluy7v9PexUf_brGpo0,13.885817679114068,Toilet,150.0,17.679796000000017,BUSINESS USE - GENERAL,2.4384,Space
24CUluy7v9PexUf_brGpo2,19.84399008040124,Toilet,150.0,25.869601312,BUSINESS USE - GENERAL,2.4384,Space
